Country,Year,Gender,Crime Head,Action Against Crime,"Number Of Disposal Persons Arrested For Crime Against Senior Citizen (UOM:Number), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2022",Male,Assault on Women with Intent to Outrage her Modesty,Persons Arrested,38
India,"Calendar Year (Jan - Dec), 2022",Male,Assault on Women with Intent to Outrage her Modesty,Persons Chargesheeted,37
India,"Calendar Year (Jan - Dec), 2022",Male,Assault on Women with Intent to Outrage her Modesty,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Male,Assault on Women with Intent to Outrage her Modesty,Persons Discharged,5
India,"Calendar Year (Jan - Dec), 2022",Male,Assault on Women with Intent to Outrage her Modesty,Persons Acquitted,10
India,"Calendar Year (Jan - Dec), 2022",Male,Attempt to Commit Murder,Persons Arrested,80
India,"Calendar Year (Jan - Dec), 2022",Male,Attempt to Commit Murder,Persons Chargesheeted,67
India,"Calendar Year (Jan - Dec), 2022",Male,Attempt to Commit Murder,Persons Convicted,3
India,"Calendar Year (Jan - Dec), 2022",Male,Attempt to Commit Murder,Persons Discharged,1
India,"Calendar Year (Jan - Dec), 2022",Male,Attempt to Commit Murder,Persons Acquitted,5
India,"Calendar Year (Jan - Dec), 2022",Male,Attempt to commit Culpable Homicide,Persons Arrested,19
India,"Calendar Year (Jan - Dec), 2022",Male,Attempt to commit Culpable Homicide,Persons Chargesheeted,17
India,"Calendar Year (Jan - Dec), 2022",Male,Attempt to commit Culpable Homicide,Persons Convicted,2
India,"Calendar Year (Jan - Dec), 2022",Male,Attempt to commit Culpable Homicide,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Male,Attempt to commit Culpable Homicide,Persons Acquitted,1
India,"Calendar Year (Jan - Dec), 2022",Male,Cheating,Persons Arrested,388
India,"Calendar Year (Jan - Dec), 2022",Male,Cheating,Persons Chargesheeted,330
India,"Calendar Year (Jan - Dec), 2022",Male,Cheating,Persons Convicted,3
India,"Calendar Year (Jan - Dec), 2022",Male,Cheating,Persons Discharged,1
India,"Calendar Year (Jan - Dec), 2022",Male,Cheating,Persons Acquitted,49
India,"Calendar Year (Jan - Dec), 2022",Male,Criminal Intimidation,Persons Arrested,140
India,"Calendar Year (Jan - Dec), 2022",Male,Criminal Intimidation,Persons Chargesheeted,141
India,"Calendar Year (Jan - Dec), 2022",Male,Criminal Intimidation,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Male,Criminal Intimidation,Persons Discharged,5
India,"Calendar Year (Jan - Dec), 2022",Male,Criminal Intimidation,Persons Acquitted,8
India,"Calendar Year (Jan - Dec), 2022",Male,Criminal Trespass,Persons Arrested,68
India,"Calendar Year (Jan - Dec), 2022",Male,Criminal Trespass,Persons Chargesheeted,84
India,"Calendar Year (Jan - Dec), 2022",Male,Criminal Trespass,Persons Convicted,3
India,"Calendar Year (Jan - Dec), 2022",Male,Criminal Trespass,Persons Discharged,4
India,"Calendar Year (Jan - Dec), 2022",Male,Criminal Trespass,Persons Acquitted,16
India,"Calendar Year (Jan - Dec), 2022",Male,Culpable Homicide not amounting to Murder,Persons Arrested,15
India,"Calendar Year (Jan - Dec), 2022",Male,Culpable Homicide not amounting to Murder,Persons Chargesheeted,3
India,"Calendar Year (Jan - Dec), 2022",Male,Culpable Homicide not amounting to Murder,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Male,Culpable Homicide not amounting to Murder,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Male,Culpable Homicide not amounting to Murder,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Male,Dacoity,Persons Arrested,41
India,"Calendar Year (Jan - Dec), 2022",Male,Dacoity,Persons Chargesheeted,40
India,"Calendar Year (Jan - Dec), 2022",Male,Dacoity,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Male,Dacoity,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Male,Dacoity,Persons Acquitted,0
India,"Calendar Year (Jan - Dec), 2022",Male,Dacoity with Murder,Persons Arrested,0
India,"Calendar Year (Jan - Dec), 2022",Male,Dacoity with Murder,Persons Chargesheeted,0
India,"Calendar Year (Jan - Dec), 2022",Male,Dacoity with Murder,Persons Convicted,0
India,"Calendar Year (Jan - Dec), 2022",Male,Dacoity with Murder,Persons Discharged,0
India,"Calendar Year (Jan - Dec), 2022",Male,Dacoity with Murder,Persons Acquitted,0
