Country,State,Year,Gender,Type Of Action Against The Crime,"Number Of Persons Arrested (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Male,Persons Arrested,27
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Male,Persons Charge sheeted,28
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Male,Persons Convicted,1
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Male,Persons Discharged,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Male,Persons Acquitted,4
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Female,Persons Arrested,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Female,Persons Charge sheeted,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Female,Persons Convicted,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Female,Persons Discharged,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Female,Persons Acquitted,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Arrested,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Charge sheeted,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Convicted,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Discharged,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Acquitted,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Arrested,27
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Charge sheeted,28
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Discharged,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Acquitted,4
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),,1
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Persons Arrested,1057
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Persons Charge sheeted,3111
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Persons Convicted,214
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Persons Discharged,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Persons Acquitted,467
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Persons Arrested,153
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Persons Charge sheeted,409
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Persons Convicted,10
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Persons Discharged,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Persons Acquitted,37
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Arrested,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Charge sheeted,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Convicted,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Discharged,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Acquitted,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Arrested,1210
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Charge sheeted,3520
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Discharged,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Acquitted,504
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),,224
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Persons Arrested,5
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Persons Charge sheeted,3
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Persons Convicted,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Persons Discharged,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Male,Persons Acquitted,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Persons Arrested,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Persons Charge sheeted,1
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Persons Convicted,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Persons Discharged,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Female,Persons Acquitted,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Arrested,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Charge sheeted,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Convicted,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Discharged,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Transgender,Persons Acquitted,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Arrested,5
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Charge sheeted,4
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Discharged,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),Persons Acquitted,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",Total (Male+Female+Transgender),,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Male,Persons Arrested,6
India,Assam,"Calendar Year (Jan - Dec), 2022",Male,Persons Charge sheeted,6
India,Assam,"Calendar Year (Jan - Dec), 2022",Male,Persons Convicted,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Male,Persons Discharged,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Male,Persons Acquitted,0
India,Assam,"Calendar Year (Jan - Dec), 2022",Female,Persons Arrested,0
