Country,State,Year,City Name,Additional Information,"Crime Rate (UOM:Number), Scaling Factor:1","Chargesheeting Rate (UOM:Ratio), Scaling Factor:1","Percentage City Share To Total (UOM:%(Percentage)), Scaling Factor:1","Rank Based On Incidence Or Percentage City Share To Total (UOM:Number), Scaling Factor:1"
India,Bihar,"Calendar Year (Jan - Dec), 2022",Patna ,,0,,,
India,Delhi,"Calendar Year (Jan - Dec), 2022",Delhi City,,1313,34.6,,
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Ahmedabad ,,238,87.7,,
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Surat ,,33,97,,
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Bengaluru ,,458,64.2,,
India,Kerala,"Calendar Year (Jan - Dec), 2022",Kochi ,,74,93.9,,
India,Kerala,"Calendar Year (Jan - Dec), 2022",Kozhikode ,,52,71.2,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Indore ,,207,97.4,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Mumbai ,,572,45.9,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Nagpur ,,167,73.7,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Pune ,,69,70,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Jaipur ,,83,30.8,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Chennai ,,391,94.5,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Coimbatore ,,6,100,,
India,Telangana,"Calendar Year (Jan - Dec), 2022",Hyderabad ,,331,66.7,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Ghaziabad ,,0,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Kanpur ,,0,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Lucknow ,,0,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Kolkata ,,2,100,,
India,Bihar,"Calendar Year (Jan - Dec), 2021",Patna ,,0,,,
India,Delhi,"Calendar Year (Jan - Dec), 2021",Delhi City,,1166,31.5,,
India,Gujarat,"Calendar Year (Jan - Dec), 2021",Ahmedabad ,,244,86.1,,
India,Gujarat,"Calendar Year (Jan - Dec), 2021",Surat ,,66,87.5,,
India,Karnataka,"Calendar Year (Jan - Dec), 2021",Bengaluru ,,237,72.4,,
India,Kerala,"Calendar Year (Jan - Dec), 2021",Kochi ,,28,37,,
India,Kerala,"Calendar Year (Jan - Dec), 2021",Kozhikode ,,53,25.9,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Indore ,,124,97.5,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Mumbai ,,987,52.4,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Nagpur ,,250,64.3,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Pune ,,150,60,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Jaipur ,,123,27.4,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Chennai ,,423,100,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Coimbatore ,,45,87.8,,
