Country,State,Year,City Name,"Actual Population (UOM:Number), Scaling Factor:100000","Number Of Kidnapping And Abduction (UOM:Number), Scaling Factor:1","Charge Sheeting Rate (UOM:Ratio), Scaling Factor:1","Percentage City Share To Total (UOM:%(Percentage)), Scaling Factor:1","Rate Of Total Kidnapping & Abduction (UOM:Ratio), Scaling Factor:1"
India,Bihar,"Calendar Year (Jan - Dec), 2022",Patna,20.5,664,89.4,,32.4
India,Delhi,"Calendar Year (Jan - Dec), 2022",Delhi,163.1,5585,7.8,,34.2
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Ahmedabad,63.5,263,23.5,,4.1
India,Gujarat,"Calendar Year (Jan - Dec), 2022",Surat,45.8,304,15.0,,6.6
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Bengaluru,85.0,946,4.7,,11.1
India,Kerala,"Calendar Year (Jan - Dec), 2022",Kochi,21.2,19,100.0,,0.9
India,Kerala,"Calendar Year (Jan - Dec), 2022",Kozhikode,20.3,45,94.6,,2.2
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",Indore,21.7,674,16.0,,31.1
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Mumbai,184.1,1754,6.9,,9.5
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Nagpur,25.0,460,18.2,,18.4
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",Pune,50.5,693,16.9,,13.7
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",Jaipur,30.7,787,25.9,,25.6
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Chennai,87.0,31,100.0,,0.4
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",Coimbatore,21.5,9,60.0,,0.4
India,Telangana,"Calendar Year (Jan - Dec), 2022",Hyderabad,77.5,609,26.6,,7.9
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Ghaziabad,23.6,55,50.9,,2.3
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Kanpur,29.2,341,42.6,,11.7
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Lucknow,29.0,293,31.1,,10.1
India,West Bengal,"Calendar Year (Jan - Dec), 2022",Kolkata,141.1,452,41.4,,3.2
India,Bihar,"Calendar Year (Jan - Dec), 2021",Patna,20.5,549,97.3,,26.8
India,Delhi,"Calendar Year (Jan - Dec), 2021",Delhi,163.1,5475,8.2,,33.6
India,Gujarat,"Calendar Year (Jan - Dec), 2021",Ahmedabad,63.5,183,28.2,,2.9
India,Gujarat,"Calendar Year (Jan - Dec), 2021",Surat,45.8,270,21.0,,5.9
India,Karnataka,"Calendar Year (Jan - Dec), 2021",Bengaluru,85.0,811,5.6,,9.5
India,Kerala,"Calendar Year (Jan - Dec), 2021",Kochi,21.2,13,84.6,,0.6
India,Kerala,"Calendar Year (Jan - Dec), 2021",Kozhikode,20.3,21,88.9,,1.0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",Indore,21.7,694,16.8,,32.0
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Mumbai,184.1,1590,13.5,,8.6
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Nagpur,25.0,415,20.3,,16.6
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",Pune,50.5,571,30.7,,11.3
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Jaipur,30.7,613,25.5,,19.9
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Chennai,87.0,71,60.9,,0.8
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",Coimbatore,21.5,11,50.0,,0.5
India,Telangana,"Calendar Year (Jan - Dec), 2021",Hyderabad,77.5,513,20.1,,6.6
