Country,State,District,Year,"Climate Vulnerability Index (UOM:Ratio), Scaling Factor:1","Marginal And Small Landholding (%) (UOM:%(Percentage)), Scaling Factor:1","Area Covered Under Crop Insurance (%) (UOM:%(Percentage)), Scaling Factor:1","Proportion Of The Area Under Rainfed Agriculture (UOM:Ratio), Scaling Factor:1","Total Area Of Forest Per 100 Rural Population (UOM:Ratio), Scaling Factor:1","Women Participation In The Workforce (%) (UOM:%(Percentage)), Scaling Factor:1","Average Days Of Employment Provided Per Household Under Mgnrega In A Year (%) (UOM:%(Percentage)), Scaling Factor:1","Road Density (UOM:Ratio), Scaling Factor:1","Functional Health Centres Per Thousand Population (UOM:Number), Scaling Factor:1","Infant Mortality Rate(Imr) (UOM:Ratio), Scaling Factor:1","Households With Electricity (%) (UOM:%(Percentage)), Scaling Factor:1","Households With The Improved Drinking Water Source (%) (UOM:%(Percentage)), Scaling Factor:1","Yield Variability Of Food Grains (UOM:Ratio), Scaling Factor:1","Per Capita Income (UOM:INR(IndianRupees)), Scaling Factor:1","Livestock Per Population (%) (UOM:%(Percentage)), Scaling Factor:1","Area Under Forest Cover (%) (UOM:%(Percentage)), Scaling Factor:1","Value Of Output Of Total Horticulture Against Value Of Agricultural Output (UOM:Ratio), Scaling Factor:1","Unirrigated Area (%) (UOM:%(Percentage)), Scaling Factor:1","Quantity Ground Water Extracted Per 1000 Hectare (UOM:Number), Scaling Factor:1","Rural Households Having Kisan Credit Card (%) (UOM:%(Percentage)), Scaling Factor:1","Self Help Groups Per 1000 Population (UOM:Number), Scaling Factor:1","Doctors Per 1000 Population (UOM:Number), Scaling Factor:1","Population Below Poverty Line (%) (UOM:%(Percentage)), Scaling Factor:1","Proportion Of Income Generated From Tertiary Sector (UOM:Ratio), Scaling Factor:1","Forest Area Per 1,000 Rural Population (UOM:Number), Scaling Factor:1","Share Of Horticulture In Agriculture (UOM:Ratio), Scaling Factor:1","Proportion Of Net Irrigated Area (UOM:Ratio), Scaling Factor:1","Availability Of Ground Water (UOM:L(Litre)), Scaling Factor:1","Population In Multi- Hazard Areas (%) (UOM:%(Percentage)), Scaling Factor:1","Rural Banks Per 1000 Rural Population (UOM:Number), Scaling Factor:1","Vector Borne Diseases Per 1,000 Population (UOM:Number), Scaling Factor:1","Water Borne Diseases Per 1,000 Population (UOM:Number), Scaling Factor:1","Agricultural Labourers (%) (UOM:%(Percentage)), Scaling Factor:1","Value Of Agricultural Output To Value Of Horticulture Output (UOM:Ratio), Scaling Factor:1","Net Irrigated Area To Net Sown Area (UOM:Ratio), Scaling Factor:1","Length Of Roads Per 100 Sqkm (UOM:Ratio), Scaling Factor:1","Households Availing Banking Services (%) (UOM:%(Percentage)), Scaling Factor:1","Share Of Area Insured Under National Institute Of Advanced Studies (UOM:Ratio), Scaling Factor:1","Net Sown Area Under Horticulture (%) (UOM:%(Percentage)), Scaling Factor:1","Households With Improved Sanitation Facility (%) (UOM:%(Percentage)), Scaling Factor:1","Female Literacy Rate (%) (UOM:%(Percentage)), Scaling Factor:1","Net Area Under Agriculture To Total Geographical Area (%) (UOM:%(Percentage)), Scaling Factor:1","Net Un- Irrigated Area To Net Sown Area (%) (UOM:%(Percentage)), Scaling Factor:1","Households With Monthly Income Of Highest Earning Household Members In A Rural Area Less Than Rs 5,000/- (%) (UOM:%(Percentage)), Scaling Factor:1","Rural Households With No Land Ownership (%) (UOM:%(Percentage)), Scaling Factor:1","Net Irrigated By Net Sown (%) (UOM:%(Percentage)), Scaling Factor:1","Drainage Density (UOM:Ratio), Scaling Factor:1","Natural Resource Management Works Per 1,000 Hectares (UOM:Number), Scaling Factor:1","Anganwadi Centres Per 1000 Hectares (UOM:Number), Scaling Factor:1","Percentage Of Agricultural Area Under Slopes Greater Than 45 Degree (UOM:%(Percentage)), Scaling Factor:1","Total Crop Produced In Both Agricultural And Horticultural Crops (%) (UOM:%(Percentage)), Scaling Factor:1","Main And Local Markets Per Geographical Area (%) (UOM:%(Percentage)), Scaling Factor:1","Water Scarcity (UOM:Number), Scaling Factor:1","Soil Fertility (UOM:Ratio), Scaling Factor:1","Crop Diversification Index (UOM:Ratio), Scaling Factor:1","Road Connectivity (%) (UOM:%(Percentage)), Scaling Factor:1","Access To Market (UOM:Ratio), Scaling Factor:1","Income Diversification Within Agriculture Sector (UOM:INR(IndianRupees)), Scaling Factor:1","Water Availability (UOM:L(Litre)), Scaling Factor:1","Area Under Water Bodies (%) (UOM:%(Percentage)), Scaling Factor:1","Fair Price Shops Per 1000 Population (UOM:Number), Scaling Factor:1","Total Female Workforce (UOM:Number), Scaling Factor:1","Stage Of Groundwater Development (%) (UOM:%(Percentage)), Scaling Factor:1","Cropping Intensity (UOM:Ratio), Scaling Factor:1","Proportion Of Area Under Commercial Crops To Set Sown Area (UOM:Ratio), Scaling Factor:1","Variability Of Crop, Livestock, And Fish Yield (UOM:Ratio), Scaling Factor:1","Available Water Resources Under Fish Culture (%) (UOM:%(Percentage)), Scaling Factor:1","Degree Of Forest Dependence By Rural Tribal Communities (UOM:Ratio), Scaling Factor:1","Approved Minor Forest Produce (Mfp) Microenterprises (UOM:Number), Scaling Factor:1","Dependency Ratio Of Rural Households Below The Poverty Line (UOM:Ratio), Scaling Factor:1","Establishments By Oae, Estt, Micro, Small And Medium (UOM:Number), Scaling Factor:1","Functional Health Care Facilities Per 10,000 Population (UOM:PerTenThousand(10000)), Scaling Factor:1","Households With Any Usual Member Covered By A Health Scheme Or Health Insurance (UOM:Number), Scaling Factor:1"
India,Andhra Pradesh,Ananthapuramu,"Calendar Year (Jan - Dec), 2021",0.528,0.69,1.13,0.84,0.03,0.41,58.62,0.07,0.18,73,99.1,61.3,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Andhra Pradesh,Chittoor,"Calendar Year (Jan - Dec), 2021",0.558,0.9,0.21,0.53,0.11,0.38,50.96,0.09,0.19,56,98.6,65.3,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Andhra Pradesh,East Godavari,"Calendar Year (Jan - Dec), 2021",0.575,0.93,0.29,0.35,0.13,0.26,47.88,0.14,0.2,46,99.1,82.1,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Andhra Pradesh,Guntur,"Calendar Year (Jan - Dec), 2021",0.625,0.9,0.33,0.47,0.03,0.39,30.1,0.23,0.17,41,99.5,74.8,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Andhra Pradesh,Krishna,"Calendar Year (Jan - Dec), 2021",0.571,0.9,0.23,0.43,0.02,0.35,32.56,0.23,0.17,60,99,70,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Andhra Pradesh,Kurnool,"Calendar Year (Jan - Dec), 2021",0.619,0.74,0.54,0.79,0.07,0.43,40.33,0.06,0.17,55,99.7,81.7,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Andhra Pradesh,Prakasam,"Calendar Year (Jan - Dec), 2021",0.628,0.82,0.48,0.75,0.12,0.42,46.22,0.04,0.19,44,97.7,58.2,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Andhra Pradesh,Sri Potti Sriramulu Nellore,"Calendar Year (Jan - Dec), 2021",0.601,0.88,0.15,0.3,0.06,0.35,36.66,0.09,0.2,40,97.9,67.7,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Andhra Pradesh,Srikakulam,"Calendar Year (Jan - Dec), 2021",0.605,0.95,0.58,0.39,0.04,0.41,59.36,0.08,0.21,58,97.3,75.7,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Andhra Pradesh,Visakhapatnam,"Calendar Year (Jan - Dec), 2021",0.593,0.91,0.42,0.58,0.17,0.34,62.16,0.13,0.17,60,98.5,84.3,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Andhra Pradesh,Vizianagaram,"Calendar Year (Jan - Dec), 2021",0.504,0.92,0.37,0.42,0.06,0.41,70.24,0.08,0.22,73,98.1,89.5,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Andhra Pradesh,West Godavari,"Calendar Year (Jan - Dec), 2021",0.566,0.91,0.27,0.22,0.05,0.32,40.34,0.1,0.2,44,98.7,74.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Andhra Pradesh,Y.S.R.,"Calendar Year (Jan - Dec), 2021",0.521,0.83,0.93,0.61,0.23,0.38,55.54,0.06,0.19,44,99.7,55.8,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Arunachal Pradesh,Anjaw,"Calendar Year (Jan - Dec), 2021",0.504,56,,,,,11.22,0.08,,,,,0.34,0.48,65,,,,,,,,,,,0.29,,1740,,,,,,,,,,,3.36,,,,,,,,2.19,,,,,,,,0.36,,,,1098,1.5,4.63,,,,,,,,,,,,
India,Arunachal Pradesh,Changlang,"Calendar Year (Jan - Dec), 2021",0.537,49,,,,,27.51,0.19,,,,,0.11,0.44,124,,,,,,,,,,,1.29,,249.42,,,,,,,,,,,14.53,,,,,,,,2.57,,,,,,,,0.51,,,,10237.11,1.95,0.5,,,,,,,,,,,,
India,Arunachal Pradesh,Dibang Valley,"Calendar Year (Jan - Dec), 2021",0.549,13,,,,,5.11,0.04,,,,,0.13,0.6,61,,,,,,,,,,,0.37,,850,,,,,,,,,,,3.22,,,,,,,,3.61,,,,,,,,0.31,,,,27968.77,1.7,3.75,,,,,,,,,,,,
India,Arunachal Pradesh,East Kameng,"Calendar Year (Jan - Dec), 2021",0.538,22,,,,,7.39,0.2,,,,,0.19,0.39,200,,,,,,,,,,,0.23,,147.55,,,,,,,,,,,15,,,,,,,,3.26,,,,,,,,0.46,,,,9246.95,3.86,2.24,,,,,,,,,,,,
India,Arunachal Pradesh,East Siang,"Calendar Year (Jan - Dec), 2021",,17,,,,,8.96,0.16,,,,,0.1,0.51,266,,,,,,,,,,,0.85,,677.46,,,,,,,,,,,38.36,,,,,,,,2.59,,,,,,,,0.47,,,,5046.01,4.41,1.1,,,,,,,,,,,,
