Country,State,Year,Price Type,"Agriculture, Forestry And Fishing (UOM:INR(IndianRupees)), Scaling Factor:10000000","Mining And Quarrying (UOM:INR(IndianRupees)), Scaling Factor:10000000","Manufacturing (UOM:INR(IndianRupees)), Scaling Factor:10000000","Electricity, Gas, Water Supply And Other Utility Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Construction (UOM:INR(IndianRupees)), Scaling Factor:10000000","Trade, Repair, Hotels And Restaurants (UOM:INR(IndianRupees)), Scaling Factor:10000000","Transport, Storage, Communication And Services Related To Broadcasting (UOM:INR(IndianRupees)), Scaling Factor:10000000","Financial Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Real Estate, Ownership Of Dwelling And Professional Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Public Administration, Defence And Other Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Other Services (UOM:INR(IndianRupees)), Scaling Factor:10000000","Total Net State Value Added (Nsva) At Basic Prices (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2023",Current Prices,,,,,,,,,,,,
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2023",Constant Prices,,,,,,,,,,,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2023",Current Prices,431100,32259,129806,24766,95749,89716,89981,56596,91862,41772,97360,1180968
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2023",Constant Prices,203378,16190,90095,16905,58317,55392,44603,36864,47015,21243,43079,633082
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2023",Current Prices,,,,,,,,,,,,
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2023",Constant Prices,,,,,,,,,,,,
India,Assam,"Financial Year (Apr - Mar), 2023",Current Prices,97289,50797,54236,7128,28154,58005,22210,14035,19209,26265,52802,430131
India,Assam,"Financial Year (Apr - Mar), 2023",Constant Prices,47622,36342,35833,4815,25079,42618,13235,6381,9865,14485,22293,258567
India,Bihar,"Financial Year (Apr - Mar), 2023",Current Prices,,,,,,,,,,,,
India,Bihar,"Financial Year (Apr - Mar), 2023",Constant Prices,,,,,,,,,,,,
India,Chandigarh,"Financial Year (Apr - Mar), 2023",Current Prices,,,,,,,,,,,,
India,Chandigarh,"Financial Year (Apr - Mar), 2023",Constant Prices,,,,,,,,,,,,
India,Chhattisgarh,"Financial Year (Apr - Mar), 2023",Current Prices,91230,27700,70113,21883,61050,27579,13948,12893,34004,29386,28432,418218
India,Chhattisgarh,"Financial Year (Apr - Mar), 2023",Constant Prices,42712,27657,58507,20999,30582,14074,9983,8421,17973,14985,14427,260319
India,Delhi,"Financial Year (Apr - Mar), 2023",Current Prices,2989,10492,40033,19203,50957,104199,93620,131086,265095,48764,97384,863822
